2
Frequency=858(MHz)

Phi	Theta	Gain . dB
0.049087385212	0.19946620023	-4.22075042629636
0.049087385212	0.24933275028	-4.47485657226811
0.049087385212	0.29919930034	-4.71137859787541
0.049087385212	0.3490658504	-4.9212418601338
0.049087385212	0.39893240046	-5.10824174132748
0.049087385212	0.44879895051	-5.2933252654883
0.049087385212	0.49866550057	-5.50019238731791
0.049087385212	0.5485320506	-5.75759539660914
0.049087385212	0.5983986007	-6.08725950855417
0.049087385212	0.6482651507	-6.50654722512607
0.049087385212	0.6981317008	-7.02942301382853
0.049087385212	0.7479982509	-7.66583393446928
0.049087385212	0.7978648009	-8.42478079799719
0.049087385212	0.847731351	-9.3105943934658
0.049087385212	0.897597901	-10.3043228471694
0.049087385212	0.9474644511	-11.3619916721904
0.049087385212	0.9973310011	-12.3727947150172
0.049087385212	1.0471975512	-13.183476695197
0.049087385212	1.0970641013	-13.6527453245463
0.049087385212	1.1469306513	-13.7831452915309
0.049087385212	1.1967972014	-13.739219908138
0.049087385212	1.2466637514	-13.7277288065653
0.049087385212	1.2965303015	-13.9186899030414
0.049087385212	1.3463968515	-14.419940404306
0.049087385212	1.3962634016	-15.2919845843248
0.049087385212	1.4461299517	-16.5570293510292
0.049087385212	1.4959965017	-18.1496938925978
0.049087385212	1.5458630518	-19.7775678166004
0.049087385212	1.5957296018	-20.8150401147171
0.049087385212	1.6455961519	-20.7984727061927
0.049087385212	1.6954627019	-20.0927398838995
0.049087385212	1.745329252	-19.2736245539822
0.049087385212	1.7951958021	-18.5400185951012
0.049087385212	1.8450623521	-17.8048380421284
0.049087385212	1.8949289022	-16.921109686633
0.049087385212	1.9447954522	-15.8502047506929
0.049087385212	1.9946620023	-14.7120043882972
0.049087385212	2.0445285523	-13.6703421798441
0.049087385212	2.0943951024	-12.8588352534087
0.049087385212	2.1442616525	-12.3584566435767
0.049087385212	2.1941282025	-12.2097979481191
0.049087385212	2.2439947526	-12.438790308209
0.049087385212	2.2938613026	-13.0596568552953
0.049087385212	2.3437278527	-14.0757884357764
0.049087385212	2.3935944027	-15.4515481084211
0.049087385212	2.4434609528	-17.0492997990503
0.049087385212	2.4933275028	-18.5640062056077
0.049087385212	2.5431940529	-19.5709153143756
0.049087385212	2.593060603	-19.9268749045045
0.049087385212	2.642927153	-19.8910147598605
0.049087385212	2.6927937031	-19.6313849048263
0.049087385212	2.7426602531	-18.9435092489407
0.049087385212	2.7925268032	-17.5708562747588
0.049087385212	2.8423933532	-15.6776793582877
0.049087385212	2.8922599033	-13.7058333068145
0.049087385212	2.9421264534	-11.9654523542069
0.049087385212	2.9919930034	-10.5730962640733
0.049087385212	3.0418595535	-9.55483113183303
0.049087385212	3.0917261035	-8.90954609272654
0.049087385212	3.1415926536	-8.62275549066707
0.09817477042	-3.1415926536	-8.62340690353848
0.09817477042	-3.0917261035	-8.66870043996245
0.09817477042	-3.0418595535	-9.04101730653214
