2
Frequency=870(MHz)

Phi	Theta	Gain . dB
0	2.2439947526	-1.58068980159175
0	2.2938613026	-1.78446765852568
0	2.3437278527	-2.01201081198623
0	2.3935944027	-2.26494376899968
0	2.4434609528	-2.54470997056835
0	2.4933275028	-2.85561766608769
0	2.5431940529	-3.20414511926747
0	2.593060603	-3.60321889637535
0	2.642927153	-4.0666384252578
0	2.6927937031	-4.61503400668542
0	2.7426602531	-5.27347308739933
0	2.7925268032	-6.07142858542811
0	2.8423933532	-7.04659054286573
0	2.8922599033	-8.2451909457373
0	2.9421264534	-9.72091797194304
0	2.9919930034	-11.534082061069
0	3.0418595535	-13.6970230957114
0	3.0917261035	-15.9311026610864
0	3.1415926536	-17.1070944069071
0.049087385212	-3.1415926536	-17.1069471187563
0.049087385212	-3.0917261035	-16.1557957993899
0.049087385212	-3.0418595535	-14.0774642558546
0.049087385212	-2.9919930034	-12.0515767231898
0.049087385212	-2.9421264534	-10.3682249143405
0.049087385212	-2.8922599033	-9.02354108803543
0.049087385212	-2.8423933532	-7.95690834660152
0.049087385212	-2.7925268032	-7.11059496974353
0.049087385212	-2.7426602531	-6.43810264763865
0.049087385212	-2.6927937031	-5.90193849149266
0.049087385212	-2.642927153	-5.47419138355643
0.049087385212	-2.593060603	-5.12644819881935
0.049087385212	-2.5431940529	-4.84033893660751
0.049087385212	-2.4933275028	-4.5939780509494
0.049087385212	-2.4434609528	-4.37561779292925
0.049087385212	-2.3935944027	-4.17019047989642
0.049087385212	-2.3437278527	-3.96465387885459
0.049087385212	-2.2938613026	-3.75148305860629
0.049087385212	-2.2439947526	-3.5241700207313
0.049087385212	-2.1941282025	-3.27951365089523
0.049087385212	-2.1442616525	-3.01489531501788
0.049087385212	-2.0943951024	-2.73294398733795
0.049087385212	-2.0445285523	-2.43688110071215
0.049087385212	-1.9946620023	-2.13532471258926
0.049087385212	-1.9447954522	-1.83518284631439
0.049087385212	-1.8949289022	-1.54102308653727
0.049087385212	-1.8450623521	-1.26197228812949
0.049087385212	-1.7951958021	-1.00224122513808
0.049087385212	-1.745329252	-0.765343683126657
0.049087385212	-1.6954627019	-0.554556833651884
0.049087385212	-1.6455961519	-0.37005978470227
0.049087385212	-1.5957296018	-0.211507142046975
0.049087385212	-1.5458630518	-0.0789877575136138
0.049087385212	-1.4959965017	0.0305053246248561
0.049087385212	-1.4461299517	0.117513525563627
0.049087385212	-1.3962634016	0.182206527720731
0.049087385212	-1.3463968515	0.225020727810314
0.049087385212	-1.2965303015	0.243281119742379
0.049087385212	-1.2466637514	0.235121733745629
0.049087385212	-1.1967972014	0.196870188294774
0.049087385212	-1.1469306513	0.124645400652323
0.049087385212	-1.0970641013	0.0125446750650356
0.049087385212	-1.0471975512	-0.143729405232435
0.049087385212	-0.9973310011	-0.347543347780793
0.049087385212	-0.9474644511	-0.603644399382286
0.049087385212	-0.897597901	-0.9140123795984
0.049087385212	-0.847731351	-1.28061610981144
0.049087385212	-0.7978648009	-1.70198513051361
0.049087385212	-0.7479982509	-2.17704827243701
0.049087385212	-0.6981317008	-2.70234702817978
0.049087385212	-0.6482651507	-3.2712036256013
0.049087385212	-0.5983986007	-3.87934364419546
0.049087385212	-0.5485320506	-4.51665796373774
0.049087385212	-0.49866550057	-5.17529423417661
0.049087385212	-0.44879895051	-5.84750873571672
0.049087385212	-0.39893240046	-6.52217480387123
0.049087385212	-0.3490658504	-7.19187571086911
0.049087385212	-0.29919930034	-7.84139016912632
0.049087385212	-0.24933275028	-8.45663664241044
0.049087385212	-0.19946620023	-9.00660235505233
0.049087385212	-0.14959965017	-9.45597474717413
0.049087385212	-0.09973310011	-9.757401184011
0.049087385212	-0.049866550057	-9.86932083812702
0.049087385212	0	-9.76466941042657
0.049087385212	0.049866550057	-9.44867063280242
0.049087385212	0.09973310011	-8.96080459179656
0.049087385212	0.14959965017	-8.35107105816023
0.049087385212	0.19946620023	-7.6799270991823
0.049087385212	0.24933275028	-6.98702271549789
0.049087385212	0.29919930034	-6.30260271845378
0.049087385212	0.3490658504	-5.64803004167081
0.049087385212	0.39893240046	-5.02834013694782
0.049087385212	0.44879895051	-4.4484260419208
0.049087385212	0.49866550057	-3.90764397502182
0.049087385212	0.5485320506	-3.40145858390313
0.049087385212	0.5983986007	-2.92457235265258
0.049087385212	0.6482651507	-2.4760372920416
0.049087385212	0.6981317008	-2.05104226693134
0.049087385212	0.7479982509	-1.64998115029637
0.049087385212	0.7978648009	-1.27294974186037
0.049087385212	0.847731351	-0.925221041859626
0.049087385212	0.897597901	-0.608851788070774
0.049087385212	0.9474644511	-0.329191012026103
0.049087385212	0.9973310011	-0.0901504489791321
0.049087385212	1.0471975512	0.103999814068104
0.049087385212	1.0970641013	0.253028725825539
0.049087385212	1.1469306513	0.353426008458109
0.049087385212	1.1967972014	0.408694991809519
0.049087385212	1.2466637514	0.421580566212591
0.049087385212	1.2965303015	0.397012997794726
0.049087385212	1.3463968515	0.339614491985261
0.049087385212	1.3962634016	0.257226419692102
0.049087385212	1.4461299517	0.157588781719664
0.049087385212	1.4959965017	0.0483926413383859
0.049087385212	1.5458630518	-0.065198273363272
0.049087385212	1.5957296018	-0.176495004499895
0.049087385212	1.6455961519	-0.282328121975009
0.049087385212	1.6954627019	-0.380754710088653
0.049087385212	1.745329252	-0.470915917390044
0.049087385212	1.7951958021	-0.555507067866585
0.049087385212	1.8450623521	-0.635706453204739
0.049087385212	1.8949289022	-0.715305687790655
0.049087385212	1.9447954522	-0.796422581312712
0.049087385212	1.9946620023	-0.885415588451594
0.049087385212	2.0445285523	-0.985436822140324
0.049087385212	2.0943951024	-1.10027760585605
0.049087385212	2.1442616525	-1.23339862854671
0.049087385212	2.1941282025	-1.38763817131247
0.049087385212	2.2439947526	-1.56520076525661
0.049087385212	2.2938613026	-1.76772132873061
0.049087385212	2.3437278527	-1.99534925205415
0.049087385212	2.3935944027	-2.24874049000164
0.049087385212	2.4434609528	-2.52993600541324
0.049087385212	2.4933275028	-2.84185807798727
0.049087385212	2.5431940529	-3.1938717694476
0.049087385212	2.593060603	-3.59376183630605
0.049087385212	2.642927153	-4.05841107714931
0.049087385212	2.6927937031	-4.60481596971931
0.049087385212	2.7426602531	-5.26091027946038
0.049087385212	2.7925268032	-6.05446090872726
0.049087385212	2.8423933532	-7.02116535849069
0.049087385212	2.8922599033	-8.21040121958494
0.049087385212	2.9421264534	-9.67565389140583
0.049087385212	2.9919930034	-11.4791799980067
0.049087385212	3.0418595535	-13.6367769138317
